country_code,country,Region,type,income_fy23,income_broad_fy23,workforce_2022,population_2021,density_2022
PSE,West Bank and Gaza,Eastern Mediterranean,independent state,LM,LMIC,68,4922749,1.3813
MDA,Moldova,Europe,country,UM,LMIC,68,2573928,2.6419
DNK,Denmark,Europe,country,H,HIC,70,5856733,1.1952
SDN,Sudan,Eastern Mediterranean,country,L,LMIC,70,44909351,0.1559
AZE,Azerbaijan,Europe,country,UM,LMIC,70,10145212,0.6900
ETH,Ethiopia,Africa,country,L,LMIC,74,1.18E+08,0.0627
ISR,Israel,Europe,country,H,HIC,75,9364000,0.8009
NOR,Norway,Europe,country,H,HIC,80,5408320,1.4792
IRQ,Iraq,Eastern Mediterranean,country,UM,LMIC,81,41179351,0.1967
JOR,Jordan,Eastern Mediterranean,country,UM,LMIC,83,10269022,0.8083
HRV,Croatia,Europe,country,H,HIC,84,3899000,2.1544
GEO,Georgia,Europe,country,UM,LMIC,86,3708610,2.3189
HKG,"Hong Kong SAR, China",Western Pacific,territory (China),H,HIC,90,7413100,1.2141
ARE,United Arab Emirates,Eastern Mediterranean,country,H,HIC,90,9991083,0.9008
MMR,Myanmar,South-East Asia,country,LM,LMIC,90,54806014,0.1642
BOL,Bolivia,Americas,country,LM,LMIC,90,11832936,0.7606
SRB,Serbia,Europe,country,UM,LMIC,90,6844078,1.3150
LTU,Lithuania,Europe,country,H,HIC,100,2795321,3.5774
YEM,"Yemen, Rep.",Eastern Mediterranean,country,L,LMIC,100,30490639,0.3280
TUN,Tunisia,Eastern Mediterranean,country,LM,LMIC,100,11935764,0.8378
VEN,"Venezuela, RB",Americas,country,UM,LMIC,100,28704947,0.3484
NPL,Nepal,South-East Asia,country,LM,LMIC,108,29674920,0.3639
FIN,Finland,Europe,country,H,HIC,110,5541696,1.9850
HUN,Hungary,Europe,country,H,HIC,120,9709886,1.2359
SWE,Sweden,Europe,country,H,HIC,120,10415811,1.1521
ECU,Ecuador,Americas,country,UM,LMIC,1.20E+02,17888474,0.6708
AFG,Afghanistan,Eastern Mediterranean,country,L,LMIC,124,39835428,0.3113
BLR,Belarus,Europe,country,UM,LMIC,130,9340314,1.3918
NGA,Nigeria,Africa,country,LM,LMIC,138,2.11E+08,0.0654
CZE,Czech Republic,Europe,country,H,HIC,140,10703446,1.3080
LBN,Lebanon,Eastern Mediterranean,country,LM,LMIC,140,6769151,2.0682
NLD,Netherlands,Europe,country,H,HIC,144,17533405,0.8213
CHE,Switzerland,Europe,country,H,HIC,150,8697723,1.7246
ROU,Romania,Europe,country,H,HIC,150,19115146,0.7847
PRT,Portugal,Europe,country,H,HIC,150,10299423,1.4564
SYR,Syrian Arab Republic,Eastern Mediterranean,country,L,LMIC,150,18275704,0.8208
UZB,Uzbekistan,Europe,country,LM,LMIC,150,34915100,0.4296
BGD,Bangladesh,South-East Asia,country,LM,LMIC,150,1.66E+08,0.0904
BGR,Bulgaria,Europe,country,UM,LMIC,162,6899125,2.3481
MYS,Malaysia,Western Pacific,country,UM,LMIC,168,32776195,0.5126
PHL,Philippines,Western Pacific,country,LM,LMIC,174,1.11E+08,0.1568
AUT,Austria,Europe,country,H,HIC,175,8956279,1.9539
SAU,Saudi Arabia,Eastern Mediterranean,country,H,HIC,200,35340680,0.5659
PRK,"Korea, Dem. Rep.",South-East Asia,country,L,LMIC,200,25887045,0.7726
PER,Peru,Americas,country,UM,LMIC,200,33359416,0.5995
MAR,Morocco,Eastern Mediterranean,country,LM,LMIC,250,37344787,0.6694
KAZ,Kazakhstan,Europe,country,UM,LMIC,250,19002586,1.3156
ZAF,South Africa,Africa,country,UM,LMIC,2.50E+02,60041996,0.4164
AUS,Australia,Western Pacific,country,H,HIC,255,25739256,0.9907
PAK,Pakistan,Eastern Mediterranean,country,LM,LMIC,270,2.25E+08,0.1200
CHL,Chile,Americas,country,H,HIC,275,19212362,1.4314
BEL,Belgium,Europe,country,H,HIC,300,11587882,2.5889
CAN,Canada,Americas,country,H,HIC,350,38246108,0.9151
GRC,Greece,Europe,country,H,HIC,350,10664568,3.2819
UKR,Ukraine,Europe,country,LM,LMIC,400,43814581,0.9129
COL,Colombia,Americas,country,UM,LMIC,420,51265841,0.8193
IDN,Indonesia,South-East Asia,country,LM,LMIC,440,2.76E+08,0.1594
DZA,Algeria,Africa,country,LM,LMIC,450,44616626,1.0086
GBR,United Kingdom,Europe,country,H,HIC,460,67326569,0.6832
VNM,Vietnam,Western Pacific,country,LM,LMIC,500,98168829,0.5093
THA,Thailand,South-East Asia,country,UM,LMIC,500,69950844,0.7148
FRA,France,Europe,country,H,HIC,520,67499343,0.7704
POL,Poland,Europe,country,H,HIC,550,37781024,1.4558
ESP,Spain,Europe,country,H,HIC,700,47326687,1.4791
TWN,"Taiwan, China",Western Pacific,disputed,H,HIC,760,23936041,3.1751
EGY,"Egypt, Arab Rep.",Eastern Mediterranean,country,LM,LMIC,850,1.04E+08,0.8173
ITA,Italy,Europe,country,H,HIC,1000,59066225,1.6930
ARG,Argentina,Americas,country,UM,LMIC,1000,45808747,2.1830
MEX,Mexico,Americas,country,UM,LMIC,1500,1.30E+08,1.1538
TUR,Türkiye,Europe,country,UM,LMIC,1750,85042736,2.0578
IRN,"Iran, Islamic Rep.",Eastern Mediterranean,country,LM,LMIC,2000,85028760,2.3521
DEU,Germany,Europe,country,H,HIC,2400,83129285,2.8871
RUS,Russian Federation,Europe,country,UM,LMIC,3000,1.43E+08,2.0979
BRA,Brazil,Americas,country,UM,LMIC,3000,2.14E+08,1.4019
KOR,"Korea, Rep.",Western Pacific,country,H,HIC,3500,51744876,6.7640
IND,India,South-East Asia,country,LM,LMIC,5500,1.39E+09,0.3957
USA,United States,Americas,country,H,HIC,7266,3.32E+08,2.1886
JPN,Japan,Western Pacific,country,H,HIC,10014,1.26E+08,7.9476
CHN,China,Western Pacific,country,UM,LMIC,15000,1.41E+09,1.0638
MAC,"Macao SAR, China",Western Pacific,territory (China),H,HIC,,658391,
TJK,Tajikistan,Europe,country,LM,LMIC,,9749625,
